Company,Trip_Count,Avg_Fare,Avg_Tip_Pct,Total_Rev,Market_Share_Pct
Flash Cab,1361663,23.56,7.88,35693890.22,21.5
Taxi Affiliation Services,1031823,23.23,11.58,29289721.37,16.29
Taxicab Insurance Agency Llc,716860,23.5,16.93,22141893.81,11.32
Sun Taxi,713041,23.51,16.82,21888025.53,11.26
City Service,603309,22.36,15.68,17155524.59,9.52
Chicago Independents,378018,23.92,16.72,11684983.34,5.97
5 Star Taxi,295973,26.12,12.33,9563743.82,4.67
Blue Ribbon Taxi Association,242785,19.89,13.67,5901879.61,3.83
Globe Taxi,226976,21.89,15.03,6297749.51,3.58
Medallion Leasin,180961,21.94,15.07,5208811.6,2.86
Tac - Yellow Cab Association,148868,13.36,12.09,2260615.77,2.35
"Taxicab Insurance Agency, LLC",88277,22.82,15.33,2589536.43,1.39
Choice Taxi Association,74008,23.35,15.22,2177320.13,1.17
Choice Taxi Association Inc,67456,23.49,17.5,2083934.93,1.06
Chicago City Taxi Association,57097,19.6,14.96,1446661.02,0.9
