Day of Week,Trip Start Hour,Trip_Count,Avg_Fare
Friday,0,15728,27.33
Friday,1,8938,27.23
Friday,2,4653,24.66
Friday,3,3740,27.54
Friday,4,5413,33.12
Friday,5,10251,32.24
Friday,6,19170,27.97
Friday,7,33957,22.36
Friday,8,46945,20.1
Friday,9,51906,20.77
Friday,10,53514,21.51
Friday,11,58916,21.64
Friday,12,62469,22.19
Friday,13,63304,22.96
Friday,14,65705,23.1
Friday,15,67004,22.81
Friday,16,67033,21.75
Friday,17,70010,21.09
Friday,18,67218,20.69
Friday,19,56309,21.7
Friday,20,44271,24.06
Friday,21,36609,23.6
Friday,22,31083,22.85
Friday,23,24802,23.18
Monday,0,14603,30.75
Monday,1,8651,30.23
Monday,2,4856,27.98
Monday,3,3798,29.46
Monday,4,5532,32.62
Monday,5,10701,31.29
Monday,6,20287,26.51
Monday,7,36720,22.06
Monday,8,51898,20.29
Monday,9,57029,21.43
Monday,10,54766,22.73
Monday,11,56747,22.5
Monday,12,58854,22.95
Monday,13,61977,23.8
Monday,14,63342,23.86
Monday,15,64279,23.56
Monday,16,63596,22.45
Monday,17,64489,22.36
Monday,18,57862,22.94
Monday,19,48513,25.32
Monday,20,40381,27.49
Monday,21,32254,27.48
Monday,22,24162,27.54
Monday,23,16698,29.05
Saturday,0,17789,23.59
Saturday,1,11876,21.81
Saturday,2,7832,20.01
Saturday,3,5589,21.89
Saturday,4,4777,27.52
Saturday,5,6050,32.16
Saturday,6,9525,28.9
Saturday,7,13832,26.13
Saturday,8,20861,24.43
Saturday,9,30378,23.28
Saturday,10,38099,21.85
Saturday,11,41749,21.86
Saturday,12,45465,21.99
Saturday,13,46785,22.51
Saturday,14,47677,22.67
Saturday,15,47752,22.87
Saturday,16,49606,21.38
Saturday,17,51400,21.37
Saturday,18,51134,20.32
Saturday,19,45611,20.83
Saturday,20,36390,22.23
Saturday,21,31951,21.75
Saturday,22,29603,20.58
Saturday,23,25033,21.45
Sunday,0,19143,21.55
Sunday,1,12286,20.54
Sunday,2,8392,18.98
Sunday,3,6389,21.59
Sunday,4,6106,25.88
Sunday,5,7426,30.53
Sunday,6,11335,29.98
Sunday,7,14415,29.26
Sunday,8,20870,27.32
Sunday,9,30114,25.58
Sunday,10,38676,24.11
Sunday,11,42010,24.64
Sunday,12,43936,25.26
Sunday,13,45045,26.34
Sunday,14,45328,26.2
Sunday,15,46134,26.73
Sunday,16,46616,26.03
Sunday,17,46355,27.22
Sunday,18,44150,27.24
Sunday,19,40338,28.79
Sunday,20,36661,30.12
Sunday,21,30238,29.77
Sunday,22,24109,29.07
Sunday,23,18745,30.11
Thursday,0,12369,28.26
Thursday,1,6587,27.67
Thursday,2,3246,25.46
Thursday,3,2955,27.57
Thursday,4,4800,32.15
Thursday,5,9764,31.48
Thursday,6,20720,26.01
Thursday,7,41503,20.5
Thursday,8,59862,18.29
Thursday,9,61003,19.0
Thursday,10,56638,20.78
Thursday,11,60787,20.85
Thursday,12,64506,21.27
Thursday,13,66517,21.95
Thursday,14,68469,22.38
Thursday,15,71619,22.58
Thursday,16,73210,21.46
Thursday,17,75305,21.18
Thursday,18,69793,21.16
Thursday,19,60030,23.1
Thursday,20,50914,25.38
Thursday,21,41240,25.39
Thursday,22,33080,25.25
Thursday,23,23605,26.43
Tuesday,0,12615,30.36
Tuesday,1,7167,30.22
Tuesday,2,3730,29.18
Tuesday,3,3042,30.94
Tuesday,4,4513,32.27
Tuesday,5,9114,29.92
Tuesday,6,19559,23.87
Tuesday,7,42376,19.47
Tuesday,8,63263,17.83
Tuesday,9,66007,19.06
Tuesday,10,58023,20.73
Tuesday,11,60330,20.77
Tuesday,12,63120,21.18
Tuesday,13,64949,21.94
Tuesday,14,66452,22.02
Tuesday,15,67776,21.96
Tuesday,16,70404,20.58
Tuesday,17,72408,20.59
Tuesday,18,64021,20.79
Tuesday,19,52404,22.88
Tuesday,20,42141,24.87
Tuesday,21,33670,24.82
Tuesday,22,25940,25.67
Tuesday,23,18101,27.62
Wednesday,0,11692,29.32
Wednesday,1,6189,28.86
Wednesday,2,3254,27.37
Wednesday,3,2785,29.86
Wednesday,4,4680,33.01
Wednesday,5,9035,30.62
Wednesday,6,19662,24.85
Wednesday,7,42100,19.85
Wednesday,8,62462,18.09
Wednesday,9,64457,19.37
Wednesday,10,58065,20.85
Wednesday,11,61486,21.11
Wednesday,12,64849,21.47
Wednesday,13,66136,22.22
Wednesday,14,67502,22.49
Wednesday,15,70052,22.5
Wednesday,16,71952,21.26
Wednesday,17,73468,21.24
Wednesday,18,66430,21.47
Wednesday,19,56012,23.39
Wednesday,20,46436,25.34
Wednesday,21,37266,24.96
Wednesday,22,27493,24.88
Wednesday,23,18579,26.74
