day,hour,trips
Friday,0,15728
Friday,1,8938
Friday,2,4653
Friday,3,3740
Friday,4,5413
Friday,5,10251
Friday,6,19170
Friday,7,33957
Friday,8,46945
Friday,9,51906
Friday,10,53514
Friday,11,58916
Friday,12,62469
Friday,13,63304
Friday,14,65705
Friday,15,67004
Friday,16,67033
Friday,17,70010
Friday,18,67218
Friday,19,56309
Friday,20,44271
Friday,21,36609
Friday,22,31083
Friday,23,24802
Monday,0,14603
Monday,1,8651
Monday,2,4856
Monday,3,3798
Monday,4,5532
Monday,5,10701
Monday,6,20287
Monday,7,36720
Monday,8,51898
Monday,9,57029
Monday,10,54766
Monday,11,56747
Monday,12,58854
Monday,13,61977
Monday,14,63342
Monday,15,64279
Monday,16,63596
Monday,17,64489
Monday,18,57862
Monday,19,48513
Monday,20,40381
Monday,21,32254
Monday,22,24162
Monday,23,16698
Saturday,0,17789
Saturday,1,11876
Saturday,2,7832
Saturday,3,5589
Saturday,4,4777
Saturday,5,6050
Saturday,6,9525
Saturday,7,13832
Saturday,8,20861
Saturday,9,30378
Saturday,10,38099
Saturday,11,41749
Saturday,12,45465
Saturday,13,46785
Saturday,14,47677
Saturday,15,47752
Saturday,16,49606
Saturday,17,51400
Saturday,18,51134
Saturday,19,45611
Saturday,20,36390
Saturday,21,31951
Saturday,22,29603
Saturday,23,25033
Sunday,0,19143
Sunday,1,12286
Sunday,2,8392
Sunday,3,6389
Sunday,4,6106
Sunday,5,7426
Sunday,6,11335
Sunday,7,14415
Sunday,8,20870
Sunday,9,30114
Sunday,10,38676
Sunday,11,42010
Sunday,12,43936
Sunday,13,45045
Sunday,14,45328
Sunday,15,46134
Sunday,16,46616
Sunday,17,46355
Sunday,18,44150
Sunday,19,40338
Sunday,20,36661
Sunday,21,30238
Sunday,22,24109
Sunday,23,18745
Thursday,0,12369
Thursday,1,6587
Thursday,2,3246
Thursday,3,2955
Thursday,4,4800
Thursday,5,9764
Thursday,6,20720
Thursday,7,41503
Thursday,8,59862
Thursday,9,61003
Thursday,10,56638
Thursday,11,60787
Thursday,12,64506
Thursday,13,66517
Thursday,14,68469
Thursday,15,71619
Thursday,16,73210
Thursday,17,75305
Thursday,18,69793
Thursday,19,60030
Thursday,20,50914
Thursday,21,41240
Thursday,22,33080
Thursday,23,23605
Tuesday,0,12615
Tuesday,1,7167
Tuesday,2,3730
Tuesday,3,3042
Tuesday,4,4513
Tuesday,5,9114
Tuesday,6,19559
Tuesday,7,42376
Tuesday,8,63263
Tuesday,9,66007
Tuesday,10,58023
Tuesday,11,60330
Tuesday,12,63120
Tuesday,13,64949
Tuesday,14,66452
Tuesday,15,67776
Tuesday,16,70404
Tuesday,17,72408
Tuesday,18,64021
Tuesday,19,52404
Tuesday,20,42141
Tuesday,21,33670
Tuesday,22,25940
Tuesday,23,18101
Wednesday,0,11692
Wednesday,1,6189
Wednesday,2,3254
Wednesday,3,2785
Wednesday,4,4680
Wednesday,5,9035
Wednesday,6,19662
Wednesday,7,42100
Wednesday,8,62462
Wednesday,9,64457
Wednesday,10,58065
Wednesday,11,61486
Wednesday,12,64849
Wednesday,13,66136
Wednesday,14,67502
Wednesday,15,70052
Wednesday,16,71952
Wednesday,17,73468
Wednesday,18,66430
Wednesday,19,56012
Wednesday,20,46436
Wednesday,21,37266
Wednesday,22,27493
Wednesday,23,18579
