Community_Area,Trip_Count,Avg_Fare,Avg_Tip_Pct,Total_Rev,Archetype,Latitude,Longitude
1,34970,24.05,3.19,875928.08,Other,41.9773,-87.6696
2,46313,22.2,1.64,1057973.53,Other,41.9957,-87.689
3,96974,18.94,5.85,1964061.11,Other,41.9994,-87.6693
4,23030,18.51,5.46,462897.43,Other,41.975,-87.6519
5,15284,20.18,8.46,349324.56,Other,41.9558,-87.6441
6,199952,17.52,11.87,4013916.81,Nightlife,41.943,-87.6538
7,127814,16.26,12.7,2388656.78,Nightlife,41.9251,-87.6516
8,1340946,14.47,14.8,23103718.11,Nightlife,41.9003,-87.6319
9,1928,26.77,1.78,53428.67,Other,41.8534,-87.6185
10,15156,28.26,3.3,468407.08,Other,41.8697,-87.5879
11,8262,26.07,3.99,238646.35,Other,41.8349,-87.6056
12,9174,26.55,2.14,253633.46,Other,41.8654,-87.6561
13,8667,20.63,2.22,189860.4,Other,41.8677,-87.6315
14,11168,21.69,2.91,255600.35,Other,41.8511,-87.6386
15,10612,23.29,2.39,261869.05,Other,41.8283,-87.6334
16,24984,21.84,2.97,588008.49,Other,41.8106,-87.625
17,2453,23.88,2.07,61283.45,Other,41.8314,-87.6561
18,800,28.61,1.31,23671.48,Other,41.8014,-87.653
19,5171,26.65,0.89,141063.85,Other,41.7855,-87.6023
20,855,24.98,3.21,22536.92,Other,41.7744,-87.5959
21,11335,24.58,4.49,300984.57,Other,41.7528,-87.5994
22,26823,21.47,7.82,639477.16,Other,41.747,-87.6319
23,4850,23.48,2.71,118191.17,Other,41.7631,-87.653
24,57486,19.59,10.67,1270528.93,Other,41.7474,-87.6696
25,13349,31.48,0.61,425064.52,Other,41.8447,-87.6957
26,2801,30.32,0.92,85802.16,Other,41.8954,-87.6957
27,5502,25.14,1.41,142223.79,Other,41.8845,-87.7189
28,592082,13.5,14.34,9249613.28,Business,41.8754,-87.6957
29,5662,28.06,1.33,162595.03,Other,41.8558,-87.7189
30,3312,32.94,2.86,115928.79,Other,41.8314,-87.7189
31,8188,23.51,5.38,208097.76,Other,41.8754,-87.7442
32,1016339,14.32,16.7,17590543.5,Business,41.8827,-87.6319
33,221150,20.14,13.58,5245893.73,Tourism,41.8447,-87.6185
34,15426,25.67,3.11,412967.82,Other,41.8106,-87.6957
35,40694,21.31,1.29,882229.5,Other,41.9251,-87.7189
36,14179,23.2,0.78,332998.59,Other,41.943,-87.7189
37,10988,26.45,0.54,292892.72,Other,41.9558,-87.7189
38,37420,22.14,0.87,838902.71,Other,41.975,-87.7189
39,30030,22.41,2.04,693174.45,Other,41.9957,-87.7189
40,9504,24.01,0.81,231279.46,Other,42.0133,-87.7189
41,52355,22.49,5.89,1285304.96,Other,42.0133,-87.6957
42,17713,25.61,1.44,465527.11,Other,41.9957,-87.6538
43,37020,27.71,0.63,1034922.95,Other,41.943,-87.6319
44,35955,27.24,0.47,986273.19,Other,41.9251,-87.6319
45,5780,27.15,0.54,158449.12,Other,41.9251,-87.6957
46,13968,30.33,0.65,428228.88,Other,41.943,-87.6957
47,2262,39.27,0.55,89335.12,Other,41.9558,-87.6957
48,8566,27.86,0.71,241705.15,Other,41.975,-87.6957
49,19029,30.3,0.48,580376.0,Other,41.9558,-87.6319
50,9855,29.1,0.42,289112.61,Other,41.975,-87.6319
51,10070,30.74,0.71,312657.02,Other,41.8697,-87.7189
52,4396,31.96,0.42,141266.49,Other,41.8511,-87.7189
53,20229,32.25,0.28,656037.24,Other,41.8283,-87.7189
54,6609,30.9,0.45,205877.11,Other,41.8106,-87.7189
55,3684,33.64,0.35,124422.57,Other,41.7855,-87.7189
56,217343,34.72,16.12,10061686.45,Airport,41.7855,-87.7442
57,1675,28.93,1.91,50655.18,Other,41.7631,-87.7189
58,2811,24.85,1.54,72447.29,Other,41.7474,-87.7189
59,12399,10.15,5.02,133849.54,Other,41.7528,-87.6696
60,4692,23.19,3.64,118514.6,Other,41.7744,-87.6696
61,6154,24.35,1.17,154317.55,Other,41.7855,-87.6696
62,1972,29.39,4.45,63332.2,Other,41.8014,-87.6957
63,1155,27.99,1.99,34071.4,Other,41.8283,-87.6957
64,1736,31.59,5.01,61843.65,Other,41.9003,-87.7189
65,2317,28.64,1.29,68209.57,Other,41.9003,-87.6957
66,6291,27.38,1.0,175080.86,Other,41.9003,-87.6696
67,6342,26.67,0.83,171374.59,Other,41.9003,-87.6538
68,15672,25.42,0.58,402398.62,Other,41.9251,-87.6538
69,29649,26.29,0.51,785357.61,Other,41.943,-87.6538
70,5397,27.92,0.9,154131.1,Other,41.9558,-87.6538
71,13456,28.88,0.5,391569.59,Other,41.975,-87.6538
72,5649,27.14,0.96,156219.11,Other,41.9957,-87.6319
73,12422,30.05,0.47,376505.91,Other,42.0133,-87.6696
74,1585,30.72,0.48,49307.16,Other,42.0133,-87.6319
75,12535,30.3,0.41,382669.33,Other,41.9957,-87.6957
76,1369845,39.93,17.36,74590243.35,Airport,41.9808,-87.9088
77,74959,20.07,5.17,1603218.22,Tourism,41.9957,-87.6319
